epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,181.945,0.58566,1.18036,0.68663,0.8725,0.77308,0.91358,0.82071,0.50681,0.92952,0.6836,0.000685386,0.000685386,0.000685386
43,185.904,0.53893,0.90968,0.66398,0.85565,0.8644,0.91951,0.8195,0.50525,1.03347,0.67473,0.000679932,0.000679932,0.000679932
44,191.588,0.67609,1.08323,0.72328,0.81601,0.8505,0.91581,0.8203,0.5191,1.00044,0.67506,0.000674478,0.000674478,0.000674478
45,195.344,0.5311,1.03614,0.66457,0.77153,0.91583,0.92913,0.83672,0.50912,0.85527,0.67718,0.000669024,0.000669024,0.000669024
46,199.43,0.57658,0.97923,0.67205,0.84871,0.90047,0.94095,0.84055,0.49621,0.75462,0.67075,0.00066357,0.00066357,0.00066357
47,204.771,0.53727,1.0015,0.67032,0.93277,0.84318,0.94655,0.85127,0.47817,0.76543,0.66635,0.000658116,0.000658116,0.000658116
48,208.827,0.52215,0.99843,0.64809,0.85798,0.77692,0.91558,0.80848,0.47154,0.96883,0.65934,0.000652662,0.000652662,0.000652662
49,212.671,0.59022,1.02532,0.68033,0.87345,0.75051,0.9164,0.8136,0.46766,0.9768,0.65786,0.000647208,0.000647208,0.000647208
50,218.282,0.56628,1.00844,0.65486,0.86922,0.82449,0.94243,0.83826,0.4767,0.8714,0.66646,0.000641754,0.000641754,0.000641754
51,222.034,0.62141,1.09589,0.70063,0.85124,0.88878,0.94446,0.83896,0.50042,0.82195,0.68162,0.0006363,0.0006363,0.0006363
52,225.984,0.56418,0.92785,0.67937,0.8936,0.91348,0.95286,0.8377,0.50029,0.84741,0.67254,0.000630846,0.000630846,0.000630846
53,230.986,0.55631,0.86015,0.66128,0.88548,0.89839,0.94305,0.84471,0.48693,0.88528,0.66753,0.000625392,0.000625392,0.000625392
54,235.258,0.47955,0.8363,0.64966,0.81891,0.89495,0.9225,0.83532,0.47599,0.97647,0.66228,0.000619938,0.000619938,0.000619938
55,239.13,0.50774,0.88549,0.63831,0.7793,0.8676,0.89377,0.81725,0.46259,1.15633,0.64043,0.000614484,0.000614484,0.000614484
56,243.857,0.55464,0.96234,0.6571,0.73897,0.84411,0.8797,0.77608,0.46608,1.21162,0.64049,0.00060903,0.00060903,0.00060903
57,248.362,0.54297,0.90079,0.64612,0.70524,0.89267,0.89589,0.78222,0.48052,1.05816,0.65539,0.000603576,0.000603576,0.000603576
58,252.497,0.52823,0.8294,0.63963,0.82323,0.89276,0.93621,0.78952,0.47399,0.92928,0.65849,0.000598122,0.000598122,0.000598122
59,256.725,0.55194,0.90527,0.65667,0.84623,0.91364,0.94591,0.7755,0.48447,0.8395,0.66088,0.000592668,0.000592668,0.000592668
60,262.009,0.55428,0.85799,0.66292,0.87248,0.93272,0.96625,0.80708,0.48344,0.69404,0.66563,0.000587214,0.000587214,0.000587214
61,265.83,0.56527,0.90326,0.69594,0.92965,0.92261,0.97596,0.83409,0.47199,0.66899,0.66489,0.00058176,0.00058176,0.00058176
62,269.773,0.52121,0.8533,0.64889,0.94052,0.90516,0.9793,0.8511,0.46538,0.66768,0.66039,0.000576306,0.000576306,0.000576306
63,275.204,0.52798,0.89269,0.65169,0.8995,0.92325,0.97974,0.85205,0.44576,0.64215,0.65108,0.000570852,0.000570852,0.000570852
64,278.905,0.48415,0.78638,0.62732,0.91328,0.94986,0.98346,0.85315,0.47099,0.61349,0.66847,0.000565398,0.000565398,0.000565398
65,282.889,0.51476,0.79209,0.642,0.90536,0.95651,0.98139,0.84177,0.48444,0.62793,0.67377,0.000559944,0.000559944,0.000559944
66,287.918,0.52656,0.81491,0.65265,0.87024,0.96469,0.9689,0.84153,0.48678,0.6213,0.67674,0.00055449,0.00055449,0.00055449
67,291.941,0.59855,0.94139,0.69844,0.89779,0.95389,0.96734,0.84834,0.48797,0.62001,0.67379,0.000549036,0.000549036,0.000549036
68,296.025,0.56205,0.87003,0.65666,0.89343,0.96368,0.95955,0.85336,0.47206,0.64026,0.66283,0.000543582,0.000543582,0.000543582
69,300.616,0.5306,0.81671,0.6575,0.87614,0.96046,0.95721,0.84872,0.46182,0.6545,0.65366,0.000538128,0.000538128,0.000538128
70,305.38,0.50231,0.81334,0.63253,0.88509,0.92353,0.96283,0.85299,0.47345,0.65605,0.64753,0.000532674,0.000532674,0.000532674
71,309.394,0.53839,0.85965,0.64182,0.90967,0.90214,0.96531,0.85699,0.46367,0.65667,0.64267,0.00052722,0.00052722,0.00052722
72,313.064,0.49188,0.82871,0.64504,0.87013,0.87675,0.95359,0.8437,0.43261,0.61984,0.63504,0.000521766,0.000521766,0.000521766
73,318.582,0.47438,0.69331,0.60996,0.87288,0.877,0.93562,0.83789,0.45021,0.61536,0.64227,0.000516312,0.000516312,0.000516312
74,322.21,0.43708,0.76974,0.62779,0.96364,0.92891,0.95588,0.82955,0.46728,0.60759,0.65515,0.000510858,0.000510858,0.000510858
75,326.227,0.50814,0.75802,0.659,0.92266,0.93095,0.9439,0.84695,0.4792,0.62056,0.66203,0.000505404,0.000505404,0.000505404
76,331.689,0.54363,0.82276,0.6743,0.9096,0.91816,0.94618,0.84917,0.47238,0.61438,0.66262,0.00049995,0.00049995,0.00049995
77,335.697,0.44325,0.74743,0.61481,0.91484,0.93414,0.95657,0.85053,0.46711,0.58358,0.66144,0.000494496,0.000494496,0.000494496
78,339.371,0.52546,0.80344,0.66788,0.89457,0.95911,0.96647,0.86478,0.46737,0.56089,0.65847,0.000489042,0.000489042,0.000489042
79,344.389,0.47754,0.75036,0.64432,0.87103,0.9478,0.9822,0.86173,0.46205,0.57628,0.65091,0.000483588,0.000483588,0.000483588
80,348.662,0.52667,0.76685,0.67616,0.90813,0.88625,0.96426,0.83256,0.44344,0.66748,0.63167,0.000478134,0.000478134,0.000478134
81,352.652,0.5053,0.76194,0.65355,0.92556,0.9096,0.97004,0.84302,0.44529,0.67168,0.63142,0.00047268,0.00047268,0.00047268
82,357.007,0.50366,0.76096,0.6551,0.91717,0.92717,0.97032,0.83747,0.44921,0.63868,0.63442,0.000467226,0.000467226,0.000467226
83,361.839,0.48962,0.73187,0.6401,0.8924,0.93551,0.97595,0.84661,0.44492,0.60144,0.6387,0.000461772,0.000461772,0.000461772
84,365.871,0.47563,0.73009,0.65178,0.91751,0.92256,0.98227,0.84634,0.45053,0.58726,0.64591,0.000456318,0.000456318,0.000456318
85,369.644,0.47777,0.74609,0.62363,0.92653,0.91641,0.96703,0.85445,0.45139,0.59048,0.64575,0.000450864,0.000450864,0.000450864
86,375.188,0.47344,0.7109,0.62791,0.91918,0.92281,0.94798,0.8625,0.44246,0.59091,0.64456,0.00044541,0.00044541,0.00044541
